SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020/4/29,15170309000,2135.7131,777.14087,1189.2828,169.28323,0,91.98448,0,0,0,0,0,0.002083333
2020/4/30,15170309000,2139.3713,778.3563,1191.5225,169.48656,0,91.256874,0,0,0,0,0,0
2020/5/1,15170309000,2143.3591,780.1153,1193.4535,169.78416,0,93.45062,0,0,0,0,0,0.005
2020/5/2,15170309000,2148.0728,781.9384,1196.1125,170.01521,0,93.61406,0,0,0,0,0,0.005
2020/5/3,15170309000,2152.8655,783.56085,1199.1042,170.19395,0,91.96385,0,0,0,0,0,0.000625
2020/5/4,15170309000,2157.8928,785.5075,1201.91,170.46782,0,93.229164,0,0,0,0,0,0.003125
2020/5/5,15170309000,2163.7188,787.8175,1205.167,170.72562,0,94.304794,0,0,0,0,0,0.005
2020/5/6,15170309000,2169.5964,790.1548,1208.4795,170.95634,0,94.62854,0,0,0,0,0,0.005
2020/5/7,15170309000,2175.2004,792.29144,1211.7087,171.19365,0,94.95688,0,0,0,0,0,0.005
2020/5/8,15170309000,2181.0596,794.49695,1215.1276,171.425,0,95.26813,0,0,0,0,0,0.005
2020/5/9,15170309000,2187.0205,796.6054,1218.7437,171.66344,0,95.501564,0,0,0,0,0,0.005
2020/5/10,15170309000,2192.7983,798.57355,1222.3956,171.82042,0,95.712395,0,0,0,0,0,0.005
2020/5/11,15170309000,2198.321,800.5677,1225.7051,172.04282,0,95.935104,0,0,0,0,0,0.005
2020/5/12,15170309000,2203.4373,802.4626,1228.6786,172.28468,0,96.11938,0,0,0,0,0,0.005
2020/5/13,15170309000,2208.3188,804.278,1231.5071,172.5226,0,96.29219,0,0,0,0,0,0.005
2020/5/14,15170309000,2213.0498,805.97955,1234.3008,172.7623,0,96.44802,0,0,0,0,0,0.005
2020/5/15,15170309000,2218.3362,807.945,1237.3867,172.99702,0,96.667656,0,0,0,0,0,0.005106383
2020/5/16,15170309000,2224.2502,810.0911,1240.9178,173.23438,0,96.84688,0,0,0,0,0,0.005
2020/5/17,15170309000,2230.3489,812.2502,1244.6168,173.47208,0,97.124374,0,0,0,0,0,0.005
2020/5/18,15170309000,2236.3594,814.3547,1248.291,173.7053,0,97.44354,0,0,0,0,0,0.005
2020/5/19,15170309000,2241.3206,815.88446,1251.4882,173.94313,0,97.66771,0,0,0,0,0,0.005
2020/5/20,15170309000,2245.8281,817.4259,1254.2133,174.18198,0,97.8574,0,0,0,0,0,0.005
2020/5/21,15170309000,2250.2349,819.1496,1256.6597,174.41676,0,98.06615,0,0,0,0,0,0.005
2020/5/22,15170309000,2253.6367,820.5018,1258.4791,174.64632,0,98.26126,0,0,0,0,0,0.005052631
2020/5/23,15170309000,2257.568,822.059,1260.6216,174.88333,0,98.4325,0,0,0,0,0,0.005
2020/5/24,15170309000,2262.2107,823.7019,1263.3911,175.11406,0,98.611145,0,0,0,0,0,0.005
2020/5/25,15170309000,2266.7434,825.1047,1266.3403,175.28572,0,97.12552,0,0,0,0,0,0.00125
2020/5/26,15170309000,2270.8374,826.74805,1268.5271,175.55229,0,98.47625,0,0,0,0,0,0.003958333
2020/5/27,15170309000,2275.5925,828.53436,1271.2418,175.81,0,99.14114,0,0,0,0,0,0.005
2020/5/28,15170309000,2279.9211,830.07,1273.8025,176.04333,0,99.36406,0,0,0,0,0,0.005
2020/5/29,15170309000,2283.967,831.574,1276.1151,176.27333,0,99.55813,0,0,0,0,0,0.005
2020/5/30,15170309000,2288.1355,833.1526,1278.4717,176.5049,0,99.7526,0,0,0,0,0,0.005
2020/5/31,15170309000,2292.855,835.05096,1281.059,176.73438,0,99.98448,0,0,0,0,0,0.005
2020/6/1,15170309000,2297.8123,836.94354,1283.8931,176.96532,0,100.16937,0,0,0,0,0,0.005
2020/6/2,15170309000,2303.2146,838.8556,1287.1467,177.2102,0,100.34281,0,0,0,0,0,0.005
